id,proyecto,organizacion,persona,fondo,linea,monto,anio,comuna,comuna_nombre,provincia,disciplina,descripcion,resultado,folio,compania,compania_nombre,fuentes,estado,fecha_descubrimiento,fecha_ultima_verificacion,duplicado_de,contradicciones,notas
FIN-0001,7% FNDR Cultura — Festival Valle del Liwa (tercera versión),Arte Escénico La Ligua,NO ENCONTRADO,Gobierno Regional de Valparaíso,NO ENCONTRADO,NO ENCONTRADO,2023,la-ligua,La Ligua,petorca,teatro,Adjudicatario formal por confirmar.,NO ENCONTRADO,NO ENCONTRADO,COMP-0001,Arte Escénico La Ligua,FUE-0013 | FUE-0014,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0002,"Convocatoria 2023, Ministerio de las Culturas, las Artes y el Patrimonio (obra La Ruta de la Quebrada)",Colectiva Artística Medioambiental La Capuchina,NO ENCONTRADO,"Ministerio de las Culturas, las Artes y el Patrimonio",NO ENCONTRADO,NO ENCONTRADO,2023,valparaiso,Valparaíso,valparaiso,titeres,"Citado por la Fundación TeatroMuseo del Títere y el Payaso en la programación de su estreno; folio, línea y monto no confirmados por este asistente.",NO ENCONTRADO,NO ENCONTRADO,COMP-0003,Colectiva Artística Medioambiental La Capuchina,FUE-0018 | FUE-0019 | FUE-0020 | FUE-0015,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0003,Subvención municipal (equipamiento),Compañía de Teatro Alegría,NO ENCONTRADO,Municipalidad de Villa Alemana,NO ENCONTRADO,NO ENCONTRADO,2022,villa-alemana,Villa Alemana,marga-marga,teatro,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,COMP-0005,Compañía de Teatro Alegría,FUE-0022 | FUE-0023,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0004,Fondo Nacional de Fomento y Desarrollo de las Artes Escénicas — Creación y Producción Escénica (obra NOSOTRXS),Fundación OANI de Teatro,NO ENCONTRADO,"Ministerio de las Culturas, las Artes y el Patrimonio",NO ENCONTRADO,NO ENCONTRADO,2025,valparaiso,Valparaíso,valparaiso,titeres,Convocatoria 2025; estreno de la obra en enero de 2026.,NO ENCONTRADO,NO ENCONTRADO,COMP-0008,Fundación OANI de Teatro,FUE-0029 | FUE-0030 | FUE-0031 | FUE-0032,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0005,Comunidades Escénicas — Programa de Artes Escénicas Itinerantes Regionales (coproducción «Puerto a Puerta» con Teatro Container),Fundación OANI de Teatro,NO ENCONTRADO,"Ministerio de las Culturas, las Artes y el Patrimonio",NO ENCONTRADO,NO ENCONTRADO,2024,valparaiso,Valparaíso,valparaiso,titeres,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,COMP-0008,Fundación OANI de Teatro,FUE-0029 | FUE-0030 | FUE-0031 | FUE-0032,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0006,"Apoyo del Ministerio de las Culturas, las Artes y el Patrimonio para «La Caracol»",La Enredadera,NO ENCONTRADO,"Ministerio de las Culturas, las Artes y el Patrimonio",NO ENCONTRADO,NO ENCONTRADO,2021,valparaiso,Valparaíso,valparaiso,danza,Fondo y folio exactos por confirmar.,NO ENCONTRADO,NO ENCONTRADO,COMP-0010,La Enredadera,FUE-0034 | FUE-0035 | FUE-0036 | FUE-0037 | FUE-0038,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0007,"Programa Itinerantes Regionales, Fondo de Artes Escénicas — proyecto «Mujeres en Escena»",La Enredadera,NO ENCONTRADO,"Ministerio de las Culturas, las Artes y el Patrimonio",NO ENCONTRADO,NO ENCONTRADO,2026,valparaiso,Valparaíso,valparaiso,danza,Proyecto liderado por la gestora Alexandra Farías Aguirre; La Enredadera es una de siete compañías participantes.,NO ENCONTRADO,NO ENCONTRADO,COMP-0010,La Enredadera,FUE-0034 | FUE-0035 | FUE-0036 | FUE-0037 | FUE-0038,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0008,Fondart (montaje surgido de taller de Juan Radrigán),Centro de Investigación Teatro La Peste,NO ENCONTRADO,"Ministerio de las Culturas, las Artes y el Patrimonio (FONDART)",NO ENCONTRADO,NO ENCONTRADO,2001,valparaiso,Valparaíso,valparaiso,teatro,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,COMP-0013,Centro de Investigación Teatro La Peste,FUE-0044 | FUE-0045 | FUE-0046 | FUE-0047 | FUE-0048,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0009,Valparaíso Creativo — plan de internacionalización del teatro regional,Centro de Investigación Teatro La Peste,NO ENCONTRADO,Valparaíso Creativo,NO ENCONTRADO,NO ENCONTRADO,2025,valparaiso,Valparaíso,valparaiso,teatro,Cofinancia el acompañamiento a siete compañías de la región; folio y monto no confirmados.,NO ENCONTRADO,NO ENCONTRADO,COMP-0013,Centro de Investigación Teatro La Peste,FUE-0044 | FUE-0045 | FUE-0046 | FUE-0047 | FUE-0048,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FIN-0010,ENAI 2025: Cuarto Encuentro de Artes Escénicas para la Comunidad Sorda,NO ENCONTRADO,Pablo Ignacio Abarca Carrazana,Fondo de Artes Escénicas,Festivales y encuentros nacionales,47627139,2025,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,artes escénicas,NO ENCONTRADO,seleccionado,754856,NO ENCONTRADO,NO ENCONTRADO,FUE-0091 | FUE-0099,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Organización responsable, comuna y monto no indicados en la nota. Responsable según nómina: Pablo Ignacio Abarca Carrazana. Página 2 del PDF. Comuna no indicada en la nómina (solo región). Responsable según nómina: Pablo Ignacio Abarca Carrazana. Página 2 del PDF. Comuna no indicada en la nómina (solo región)."
