id,nombre,roles,companias,companias_nombre,comuna,comuna_nombre,provincia,obras_dirigidas,obras_dirigidas_nombre,formacion,trayectoria,instagram,web,fuentes,estado,fecha_descubrimiento,fecha_ultima_verificacion,duplicado_de,contradicciones,notas
PER-0001,Diego Chamorro,Director/a,COMP-0006,Compañía de Teatro La Lancha,san-antonio,San Antonio,san-antonio,OBR-0002,Llo Lle We,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0024 | FUE-0025 | FUE-0026 | FUE-0056,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
PER-0002,Camila Landon Vío,Director/a,COMP-0008,Fundación OANI de Teatro,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0029 | FUE-0030 | FUE-0031 | FUE-0032,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
PER-0003,Danilo Llanos,Director/a | Dramaturgo/a,COMP-0013,Centro de Investigación Teatro La Peste,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0044 | FUE-0045 | FUE-0046 | FUE-0047 | FUE-0048 | FUE-0124,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Figura como Danilo Patricio Llanos Quezada, responsable de 'FIN; último episodio Trilogía de la Catástrofe' (trayectoria 2022)."
PER-0004,Eduardo Romero,Director/a,COMP-0015,Títeres Humedal Río Maipo,santo-domingo,Santo Domingo,san-antonio,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0052 | FUE-0053,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
PER-0005,Festín de la Risa (creación colectiva),Dramaturgo/a,COMP-0007,Festín de la Risa,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0054,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
PER-0006,Juan Radrigán,Dramaturgo/a,COMP-0005,Compañía de Teatro Alegría,villa-alemana,Villa Alemana,marga-marga,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0055 | FUE-0161,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
PER-0007,Alan Sebastián Fernández Caro,Actor/actriz | Gestor/a cultural | Productor/a,COMP-0006,Compañía de Teatro La Lancha,san-antonio,San Antonio,san-antonio,NO ENCONTRADO,NO ENCONTRADO,"{""title"": ""Derecho (egreso)"", ""institution"": ""[NO ENCONTRADO]"", ""year"": null, ""source_index"": 1}","Integrante del elenco de *Llo Lle We* (personaje Pilpilén), montaje sobre la historia de la desembocadura del río Maipo dirigido por Diego Chamorro y presentado en la Plaza de Llolleo. Participa en una compañía de teatro independiente desde 2020 en gestión, producción e interpretación. Su formación incluye estudios de Turismo Aventura, Ciencias Sociales y Jurídicas y egreso de Derecho.",NO ENCONTRADO,NO ENCONTRADO,FUE-0072 | FUE-0073 | FUE-0026,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Importado de data/artists/alan-fernandez-caro.json (score 75).
PER-0008,Carlos Andrés Muñoz Rivera,Artista circense | Actor/actriz | Gestor/a cultural | Responsable de proyecto (Fondos Cultura),COMP-0007,Festín de la Risa,putaendo,Putaendo,san-felipe-de-aconcagua,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Con Festín de la Risa ha realizado giras internacionales por Ecuador, Perú, Colombia, Brasil y Bolivia, y posteriormente por Francia, España, Portugal e Italia (gira 2024 con el espectáculo *Ayayai*). En 2022 la compañía participó en el Jallalla Festi Circo (Arica) y en 2023 celebró sus diez años en el Parque Cultural de Valparaíso. Responsable del proyecto «Trashumantes, en la búsqueda de nuevos caminos creativos» (folio 749091), presentado al Fondo de Artes Escénicas 2025, con 97 puntos y lista de espera. En 2021 fue responsable del proyecto circense «desolación en el distrito 6», seleccionado en una convocatoria del Parque Cultural de Valparaíso.",NO ENCONTRADO,NO ENCONTRADO,FUE-0074 | FUE-0075 | FUE-0098,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Importado de data/artists/carlos-munoz-rivera.json (score 65). Responsable del proyecto «Trashumantes, en la búsqueda de nuevos caminos creativos» (Fondo de Artes Escénicas 2025, Residencias de creación). Comuna no indicada en la nómina (solo región)."
PER-0009,Constanza Jesús Méndez Laínes,Actor/actriz | Mediador/a,COMP-0017,Hypókritas,vina-del-mar,Viña del Mar,valparaiso,NO ENCONTRADO,NO ENCONTRADO,"{""title"": ""Actuación"", ""institution"": ""Duoc UC"", ""year"": null, ""source_index"": 1}; {""title"": ""Fonoaudiología"", ""institution"": ""Universidad de Valparaíso"", ""year"": null, ""source_index"": 1}","Profesora de Teatro en la Escuela Naval Arturo Prat desde 2020 (círculos culturales) y profesora ayudante de Expresión Oral desde 2014. En 2022 coadaptó *La Remolienda*, de Alejandro Sieveking, para la Academia Cultural de la Escuela Naval.",NO ENCONTRADO,NO ENCONTRADO,FUE-0076 | FUE-0077,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Importado de data/artists/constanza-mendez-laines.json (score 60). Vínculos declarados: Hypókritas (integrante).
PER-0010,Hugo Hernández Urtubia,Titiritero/a | Director/a,COMP-0014 | COMP-0115,Compañía de Marionetas The Magic Show | The Magic Show,los-andes,Los Andes,los-andes,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Incorporado en 2026 al Sistema de Información para la Gestión del Patrimonio Cultural Inmaterial (SIGPA) como cultor individual de Teatro tradicional de títeres, identificador CI8699, con 25 años de trayectoria registrados. Antes de consolidarse como marionetista trabajó en formación con niños y niñas (talleres de marionetas gigantes). En 2026 fue reconocido públicamente como cultor en el marco del primer Día Nacional del Titiritero y la Titiritera.",NO ENCONTRADO,NO ENCONTRADO,FUE-0078 | FUE-0079 | FUE-0051 | FUE-0169,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Importado de data/artists/hugo-hernandez-urtubia.json (score 75). Perfil en El Trabajo (22 de marzo de 2026): marionetas de hilo, títeres de guante y figuras de gran formato; formación en Barcelona."
