id,url,titulo,publicador,tipo,calidad,fecha_consulta,capa,consulta,notas
FUE-0001,https://www.losandes.cl/centro-cultural/,Centro Cultural — Ilustre Municipalidad de Los Andes,Ilustre Municipalidad de Los Andes,oficial,B,2026-09-05,0,importacion data/,"Confirma dirección, teléfono, correo y oferta de talleres."
FUE-0002,https://www.sanantonio.cl/alcaldia/departamento-de-cultura/centro-cultural-san-antonio.html,Centro Cultural San Antonio,Ilustre Municipalidad de San Antonio,oficial,B,2026-09-05,0,importacion data/,"Confirma dirección, programación gratuita y vínculo con planes de estudio."
FUE-0003,https://parquecultural.cl/ubicacion/,Ubicación — Parque Cultural Valparaíso,Parque Cultural de Valparaíso,oficial,B,2026-09-05,0,importacion data/,"Confirma dirección (Cumming 590, Cerro Cárcel) y correo de contacto."
FUE-0004,https://es.wikipedia.org/wiki/Parque_Cultural_de_Valpara%C3%ADso,Parque Cultural de Valparaíso,Wikipedia,otro,E,2026-09-05,0,importacion data/,Solo como referencia secundaria de la inauguración en octubre de 2011; no se usa como única fuente.
FUE-0005,https://www.gob.cl/noticias/mandataria-inauguro-el-teatro-municipal-juan-bustos-en-quilpue/,Mandataria inauguró el Teatro Municipal Juan Bustos en Quilpué,Gobierno de Chile (gob.cl),oficial,B,2026-09-05,0,importacion data/,"Confirma historia (Teatro Velarde 1940), restauración, reapertura el 12 de diciembre de 2017 y nuevas instalaciones. No incluye dirección ni capacidad exacta."
FUE-0006,https://www.biobiochile.cl/noticias/artes-y-cultura/actualidad-cultural/2017/12/14/quilpue-inauguro-el-nuevo-teatro-municipal-juan-bustos-ramirez.shtml,Quilpué inauguró el nuevo Teatro Municipal Juan Bustos Ramírez,BioBioChile,prensa,C,2026-09-05,0,importacion data/,Corrobora la reapertura de diciembre de 2017.
FUE-0007,https://www.monumentos.gob.cl/monumentos/monumentos-historicos/teatro-pompeya-y-sus-portales-de-villa-alemana,Teatro Pompeya y sus Portales de Villa Alemana,Consejo de Monumentos Nacionales de Chile,oficial,B,2026-09-05,0,importacion data/,"Confirma dirección, declaratoria de monumento histórico (2008), estilo, construcción 1925, inauguración 1926, capacidad de 500 personas, daño 2010, restauración 2011-2012 y reapertura el 29 de octubre de 2012."
FUE-0008,https://munivillalemana.gob.cl/2026/07/teatro-pompeya-villa-alemana-celebra-100-anos/,Teatro Pompeya de Villa Alemana celebra 100 años de historia como símbolo del patrimonio y la cultura local,Ilustre Municipalidad de Villa Alemana,institucional,A,2026-09-05,0,importacion data/,Confirma que sigue activo y celebrando su historia en julio de 2026; no se abrió en detalle.
FUE-0009,https://publicosyterritorios.cultura.gob.cl/local/teatro-rodolfo-bravo-del-centro-cultural-municipal-leopoldo-silva-reynoard-de-quillota/,Teatro Rodolfo Bravo del Centro Cultural Municipal Leopoldo Silva Reynoard de Quillota,"Ministerio de las Culturas, las Artes y el Patrimonio — Unidad de Públicos y Territorios",institucional,A,2026-09-05,0,importacion data/,Confirma el nombre oficial completo del teatro. No entrega dirección ni capacidad.
FUE-0010,https://g5noticias.cl/2021/01/21/teatro-del-centro-cultural-de-quillota-reabre-a-publico-este-viernes/,Teatro del Centro Cultural de Quillota reabre a público este viernes,G5 Noticias,prensa,C,2026-09-05,0,importacion data/,Publicada el 21 de enero de 2021. Confirma la reapertura del 22 de enero de 2021 y el nombre «Rodolfo Bravo».
FUE-0011,https://www.teatromuseo.cl/,Sitio oficial de la Fundación Teatromuseo del Títere y el Payaso,Fundación Teatromuseo del Títere y el Payaso,oficial,B,2026-09-05,0,importacion data/,"Confirma dirección (Cumming 795, Valparaíso) y teléfono."
FUE-0012,https://semanaeducacionartistica.cultura.gob.cl/contenidos/fundacion-teatromuseo-del-titere-y-el-payaso/,Fundación Teatromuseo del Títere y el Payaso — Semana de la Educación Artística,"Ministerio de las Culturas, las Artes y el Patrimonio",institucional,A,2026-09-05,0,importacion data/,"Confirma inauguración en julio de 2007 en la ex capilla de San Judas Tadeo, y la escuela internacional, museo y teatro."
FUE-0013,NO ENCONTRADO,"Investigación madre Quinta Escena Podcast — perfil 3 (cita El Observador, Festival Valle del Liwa 2024)","Proyecto Quinta Escena Podcast, folio 863000",documento-proyecto,F,2026-09-05,0,importacion data/,Documento interno del proyecto Quinta Escena Podcast; no verificable públicamente. Nota de El Observador sobre Valle del Liwa 2024 aún sin URL propia localizada.
FUE-0014,https://www.instagram.com/festivalvalledelliwa/,Festival de Teatro y Todas las Artes Valle del Liwa (cuenta oficial),Festival Valle del Liwa,red-social,D,2026-09-05,0,importacion data/,"Cuenta encontrada por búsqueda; no se abrió para confirmar contenido (Instagram no es accesible para este asistente). Cuenta como nivel 1 solo para existencia, no para trayectoria ni fondos; falta que un verificador humano la revise."
