id,nombre,compania,compania_nombre,director,dramaturgo,anio_estreno,genero,publico,duracion,comunas,espacios,espacios_nombre,festivales,festivales_nombre,descripcion,fuentes,estado,fecha_descubrimiento,fecha_ultima_verificacion,duplicado_de,contradicciones,notas
OBR-0001,El Loco y la Triste,COMP-0005,Compañía de Teatro Alegría,NO ENCONTRADO,Juan Radrigán,NO ENCONTRADO,teatro,adulto,NO ENCONTRADO,villa-alemana,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0022 | FUE-0023 | FUE-0055,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0005. Importado de data/works/el-loco-y-la-triste.json (score 55).
OBR-0002,Llo Lle We,COMP-0006,Compañía de Teatro La Lancha,Diego Chamorro,NO ENCONTRADO,NO ENCONTRADO,teatro,todo-publico,NO ENCONTRADO,san-antonio,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Montaje sobre la historia de la desembocadura del río Maipo y el territorio de San Antonio: pueblos originarios, patrimonio local, memoria y educación, contada «desde el Big Bang hasta el presente». Presentado en la Plaza de Llolleo para acercar la historia local a la comunidad.",FUE-0024 | FUE-0025 | FUE-0026 | FUE-0056 | FUE-0117,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Creado por referencia desde COMP-0006. Importado de data/works/llo-lle-we.json (score 63). 'Gira de Llo Lle We: Ko Rüpü, el camino del agua' (Circulación de montajes escénicos 2023, Diego Sebastián Chamorro Ramírez, $14.325.891)."
OBR-0003,Ayayai,COMP-0007,Festín de la Risa,NO ENCONTRADO,Festín de la Risa (creación colectiva),NO ENCONTRADO,clown,familiar,NO ENCONTRADO,valparaiso,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Espectáculo de clown que mezcla humor físico, improvisación, ternura y números clásicos de payasería.",FUE-0027 | FUE-0028 | FUE-0054,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0007. Importado de data/works/ayayai.json (score 55).
OBR-0004,Varieté de Marionetas Musicales,COMP-0014,Compañía de Marionetas The Magic Show,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,titeres,familiar,NO ENCONTRADO,los-andes,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0049 | FUE-0050 | FUE-0051 | FUE-0057,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0014. Importado de data/works/variete-de-marionetas-musicales.json (score 62).
OBR-0005,Ánimas de día claro,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,san-antonio,ESP-0002,Centro Cultural San Antonio,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0058,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde FUN-0001.
OBR-0006,Circo con Saltimbanqui Circus,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,san-antonio,ESP-0002,Centro Cultural San Antonio,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0058,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde FUN-0002.
OBR-0007,El gran circo imaginario,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0007,Fundación Teatromuseo del Títere y el Payaso,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0059,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde FUN-0004.
OBR-0008,En este instante,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0007,Fundación Teatromuseo del Títere y el Payaso,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0059,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde FUN-0005.
OBR-0009,Sola,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,ESP-0007,Fundación Teatromuseo del Títere y el Payaso,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0059,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde FUN-0006.
OBR-0010,Pirateando títeres,COMP-0022,Compañía La Barconeta,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,títeres (marionetas de hilos),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,Espectáculo intercultural con el que la compañía ha recorrido gran parte de Sudamérica.,FUE-0018,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0022.
