id,nombre,alias,comuna,comuna_nombre,provincia,localidad,direccion,tipo_espacio,capacidad,administracion,programacion_teatral,companias,companias_nombre,web,instagram,facebook,correo,telefono,lat,lng,descripcion,fuentes,estado,fecha_descubrimiento,fecha_ultima_verificacion,duplicado_de,contradicciones,notas
ESP-0001,Centro Cultural de Los Andes,Anfiteatro Patio Las Heras — Centro Cultural de Los Andes,los-andes,Los Andes,los-andes,NO ENCONTRADO,"Maipú 475, Los Andes",Centro cultural,NO ENCONTRADO,Ilustre Municipalidad de Los Andes,sí,NO ENCONTRADO,NO ENCONTRADO,https://www.losandes.cl/centro-cultural/,NO ENCONTRADO,NO ENCONTRADO,contacto@munilosandes.cl,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Espacio municipal de encuentro, aprendizaje y creación. Ofrece talleres artísticos y culturales para la comunidad: música (piano, guitarra, canto), danza (ballet, contemporáneo, jazz, tango) y artes visuales (dibujo, pintura, teatro, fotografía).",FUE-0001 | FUE-0089 | FUE-0093 | FUE-0161,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,"direccion: 'Maipú 475, Los Andes' vs 'Esmeralda 536, Los Andes'","Importado de data/venues/centro-cultural-de-los-andes.json (score 78). Integra la Red de Espacios Culturales (2020) y es espacio bajo convenio Red Cultura. 'El Invitado' (Juan Radrigán) en el Anfiteatro Patio Las Heras, 30 de marzo de 2022, gratuita."
ESP-0002,Centro Cultural San Antonio,Sala Civita Aranda — Centro Cultural San Antonio,san-antonio,San Antonio,san-antonio,NO ENCONTRADO,"Antofagasta 545, Barrancas, San Antonio",Centro cultural,NO ENCONTRADO,Ilustre Municipalidad de San Antonio,sí,COMP-0100 | COMP-0039 | COMP-0050,Abisal | Cooperativa de Artes Escénicas de Valparaíso | Colectivo interdisciplinario Musgo,https://centrocultural.sanantonio.cl/,https://www.instagram.com/centroculturalsanantonio/,NO ENCONTRADO,CentroCultural@sanantonio.cl,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Espacio cultural municipal de referencia de la comuna de San Antonio. Programa una cartelera gratuita de cine, música en vivo y teatro, además de actividades vinculadas a los planes de estudio en horario escolar. Sede del Festival Litoral Teatral.",FUE-0002 | FUE-0062 | FUE-0063 | FUE-0064 | FUE-0065 | FUE-0058 | FUE-0089 | FUE-0093 | FUE-0144 | FUE-0167 | FUE-0176 | FUE-0177 | FUE-0178,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Importado de data/venues/centro-cultural-san-antonio.json (score 80). Integra la Red de Espacios Culturales (2020) y es espacio bajo convenio Red Cultura. Función gratuita de 'Terrapolis' el 6 de agosto de 2025. Organiza el Festival Litoral Teatral (2024: 10–21 de enero; 2026: abril). Sede de extensión del Festival Síntesis Teatral 2019.
ESP-0003,Parque Cultural de Valparaíso,PCdV,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,"Cumming 590, Cerro Cárcel, Valparaíso",Centro cultural,NO ENCONTRADO,NO ENCONTRADO,sí,COMP-0008 | COMP-0011 | COMP-0013 | COMP-0076 | COMP-0116,Fundación OANI de Teatro | Ludus Teatro | Centro de Investigación Teatro La Peste | Julieta y Compañía | Experimento Pierrot,https://parquecultural.cl/,NO ENCONTRADO,NO ENCONTRADO,contacto@pcdv.cl,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Complejo arquitectónico construido sobre la ex Cárcel de Valparaíso, en Cerro Cárcel, inaugurado en octubre de 2011. Incluye un teatro, oficinas y salas de ensayo de danza, teatro, circo y música. Programa ciclos de teatro infantil y actividades familiares, como el «Parque en Verano».",FUE-0003 | FUE-0004 | FUE-0029 | FUE-0030 | FUE-0031 | FUE-0032 | FUE-0039 | FUE-0040 | FUE-0041 | FUE-0044 | FUE-0045 | FUE-0046 | FUE-0047 | FUE-0048 | FUE-0089 | FUE-0117 | FUE-0175 | FUE-0171 | FUE-0176 | FUE-0177 | FUE-0178,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,"direccion: 'Cumming 590, Cerro Cárcel, Valparaíso' vs 'Cárcel 471, Cerro Cárcel, Valparaíso'","Importado de data/venues/parque-cultural-de-valparaiso.json (score 78). Integra la Red de Espacios Culturales (2020). 'Radioteatro: proceso formativo para personas mayores' (Fondo de Artes Escénicas 2023, Asociación Parque Cultural de Valparaíso). Mes del Teatro 2022 (12 al 15 de mayo, $2.500) y 'El Tiempo No Espera' (18 de julio de 2025)."
ESP-0004,Teatro Municipal Juan Bustos Ramírez,Teatro Juan Bustos,quilpue,Quilpué,marga-marga,NO ENCONTRADO,"Aníbal Pinto 650, Quilpué",Teatro,NO ENCONTRADO,Ilustre Municipalidad de Quilpué,sí,COMP-0011,Ludus Teatro,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Inaugurado el 7 de diciembre de 1940 como Teatro Velarde, de estilo art decó. Ante riesgo de demolición, el municipio de Quilpué lo adquirió para conservarlo como patrimonio comunal; tras una restauración de 1.270 millones de pesos que recuperó puertas, lámparas y rejas originales y sumó equipamiento escénico y de iluminación, reabrió como Teatro Municipal Juan Bustos Ramírez el 12 de diciembre de 2017, con escenario principal, camarines, microcine, salas de ensayo y oficinas administrativas.",FUE-0005 | FUE-0006 | FUE-0039 | FUE-0040 | FUE-0041 | FUE-0089 | FUE-0093 | FUE-0175,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Importado de data/venues/teatro-municipal-juan-bustos-ramirez.json (score 68). Integra la Red de Espacios Culturales (2020) y es espacio bajo convenio Red Cultura. 'Desentierren a los vivos' (dir. Pita Torres), 28 de mayo de 2022, gratuita."
ESP-0005,Teatro Municipal Pompeya,Teatro Pompeya,villa-alemana,Villa Alemana,marga-marga,NO ENCONTRADO,"Paseo peatonal Los Héroes, entre Avenida Valparaíso y calle Santiago, Villa Alemana",Teatro,500,Ilustre Municipalidad de Villa Alemana,sí,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,https://www.facebook.com/TeatroPompeya/,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Construido en 1925 por los arquitectos Aquiles Landoff y Renato Schiavon a iniciativa de Domingo Composto, e inaugurado el 25 de septiembre de 1926 como sala de cine de barrio, con capacidad para 500 personas entre platea y galería. Declarado Monumento Histórico Nacional en 2008. Dañado gravemente en el terremoto de 2010, fue restaurado entre 2011 y 2012 con una inversión de 830 millones de pesos y reabrió el 29 de octubre de 2012 como Teatro Municipal Pompeya, hoy propiedad de la Municipalidad de Villa Alemana.",FUE-0007 | FUE-0008 | FUE-0127,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,"direccion: 'Paseo peatonal Los Héroes, entre Avenida Valparaíso y calle Santiago, Villa Alemana' vs 'Paseo Los Héroes (ex Paseo Latorre), Villa Alemana'; administracion: 'Ilustre Municipalidad de Villa Alemana' vs 'municipal'","Importado de data/venues/teatro-municipal-pompeya.json (score 82). Implementación de nuevas tecnologías (Fondart Nacional 2022, $29.454.606, I. Municipalidad de Villa Alemana). Inaugurado en 1926; administrado por la familia Composto hasta 2010 y por la Municipalidad de Villa Alemana desde 2011 (tras su restauración). Monumento Histórico desde 2009. Centenario en 2026 con programación principalmente musical (4, 9, 10, 25 y 26 de septiembre de 2026)."
ESP-0006,Teatro Rodolfo Bravo del Centro Cultural Municipal Leopoldo Silva Reynoard,Teatro Rodolfo Bravo | Teatro Rodolfo Bravo A.,quillota,Quillota,quillota,NO ENCONTRADO,"Avenida 21 de Mayo 200, Quillota (Centro Cultural Leopoldo Silva Reynoard)",Teatro,NO ENCONTRADO,Ilustre Municipalidad de Quillota,sí,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,https://x.com/qtacultural,https://www.facebook.com/centroculturalquillota/,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Sala teatral del Centro Cultural Municipal Leopoldo Silva Reynoard de Quillota. Reabrió al público el 22 de enero de 2021 tras el cierre por la pandemia, con programación semanal y protocolos de aforo y sanitización; el municipio complementó la temporada con intervenciones culturales en barrios para llegar a quienes no podían asistir a la sala.",FUE-0009 | FUE-0010 | FUE-0098 | FUE-0155 | FUE-0159,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,nombre: 'Teatro Rodolfo Bravo del Centro Cultural Municipal Leopoldo Silva Reynoard' vs 'Teatro Rodolfo Bravo'; administracion: 'Ilustre Municipalidad de Quillota' vs 'municipal',"Importado de data/venues/teatro-rodolfo-bravo.json (score 62). 'Nuevo equipamiento para el Teatro Rodolfo Bravo del Centro Cultural Municipal Leopoldo Silva Reynoard de Quillota' (Fondo de Artes Escénicas 2025, $14.991.800, I. Municipalidad de Quillota): el teatro forma parte del Centro Cultural Leopoldo Silva Reynoard. Sala del Centro Cultural Leopoldo Silva Reynoard. 'Artículo 161' (montaje interactivo, 8 de septiembre de 2026, 19:00, entrada liberada); 'Sólo Folklore' 25ª versión (11 y 12 de septiembre de 2026). 'Tibia' (práctica performativa, fines de julio de 2025, gratuita, función escolar y general)."
ESP-0007,Fundación Teatromuseo del Títere y el Payaso,Teatromuseo | TeatroMuseo del Títere y el Payaso,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,"Cumming 795, Cerro Cárcel, Valparaíso",Teatro,NO ENCONTRADO,"Fundación Teatromuseo del Títere y el Payaso (privada, sin fines de lucro)",NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,https://www.teatromuseo.cl/,NO ENCONTRADO,https://www.facebook.com/teatromuseo/,(+56) 32 259 2226,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Fundada en 2007 en la antigua capilla de San Judas Tadeo, en Cerro Cárcel, junto al mirador Plaza Bismarck. Reúne una escuela internacional de formación, un museo especializado y un teatro con programación familiar permanente dedicados a los títeres y el payaso. Sede del Festival Caleta de Títeres y espacio de origen de la compañía Festín de la Risa.",FUE-0011 | FUE-0012 | FUE-0059 | FUE-0089 | FUE-0090,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Importado de data/venues/teatromuseo-del-titere-y-el-payaso.json (score 80). Integra la Red de Espacios Culturales (2020); beneficiaria PAOCC 2020 ($17.922.860).
ESP-0008,Casa de la Cultura de Algarrobo,NO ENCONTRADO,algarrobo,Algarrobo,san-antonio,NO ENCONTRADO,NO ENCONTRADO,Centro cultural,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Integra la Red de Espacios Culturales de la Región de Valparaíso (2020).
ESP-0009,Museo y Centro Cultural Presidente Pedro Aguirre Cerda,NO ENCONTRADO,calle-larga,Calle Larga,los-andes,NO ENCONTRADO,NO ENCONTRADO,Centro cultural,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Integra la Red de Espacios Culturales de la Región de Valparaíso (2020).
ESP-0010,Ex Estación de Ferrocarriles de Cartagena,NO ENCONTRADO,cartagena,Cartagena,san-antonio,NO ENCONTRADO,NO ENCONTRADO,Espacio patrimonial,NO ENCONTRADO,municipal,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0089,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Listado como 'Ex Estación de Ferrocarriles, Municipalidad de Cartagena' en la Red de Espacios Culturales (2020)."
