id,nombre,alias,comuna,comuna_nombre,provincia,anio_creacion,periodicidad,organizacion,espacios,espacios_nombre,companias,companias_nombre,obras,obras_nombre,numero_versiones,fechas,web,instagram,facebook,descripcion,fuentes,estado,fecha_descubrimiento,fecha_ultima_verificacion,duplicado_de,contradicciones,notas
FES-0001,II Festival Caleta de Títeres,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Asamblea Titiritera ATTICH V, Fundación TeatroMuseo del Títere y el Payaso, Empresa Portuaria Valparaíso, Centex y Seremi de las Culturas, las Artes y el Patrimonio",NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2026-03-22,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Segunda edición del Festival Caleta de Títeres, que celebra el Día Mundial del Títere y la Marioneta (21 de marzo) transformando el Muelle Prat de Valparaíso en escenario. Programa más de quince números de títeres y marionetas, exhibición de marionetas gigantes y un especial de Teatro Lambe-Lambe desde las 13:00 horas, con reconocimiento a personalidades del oficio. Entre las 17:00 y las 18:15 horas se realizan cuatro funciones a bordo de lanchas en la bahía. Compañías y obras mencionadas: Talán-Talán, Compañía Terrestre, Lorenzo Títeres, Compañía La Bululú y Compañía La Barconeta; obras ""Olvídame"", ""Océano Pacífico"", ""El Gato Aníbal"" y ""Las Cantoras del Puerto"". Requiere inscripción previa mediante formulario del Ministerio de las Culturas.",FUE-0060 | FUE-0017 | FUE-0061,DUPLICADO,2026-09-08,2026-09-08,FES-0008,NO ENCONTRADO,Importado de data/events/festival-caleta-de-titeres-2026.json (score 85).
FES-0002,Festival Litoral Teatral,Litoral Cultural — Festival de las Artes Escénicas en San Antonio,san-antonio,San Antonio,san-antonio,NO ENCONTRADO,NO ENCONTRADO,Centro Cultural San Antonio (Ilustre Municipalidad de San Antonio),ESP-0002 | ESP-0081,Centro Cultural San Antonio | Junta de Vecinos San Juan de Llolleo,COMP-0068 | COMP-0110 | COMP-0044 | COMP-0111 | COMP-0050 | COMP-0112 | COMP-0039 | COMP-0113 | COMP-0114,Fundación Teatromuseo del Títere y el Payaso | Carro Nómade | Disparate Circo | Compañía Oreja Roja | Colectivo interdisciplinario Musgo | Compañía Aranwa | Cooperativa de Artes Escénicas de Valparaíso | Saltimbanqui Circus | Teatro El Ojo,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2026-04-12 | 2024-01-10/2024-01-21 | 2026-04-12/2026-04-26,https://centrocultural.sanantonio.cl/,NO ENCONTRADO,NO ENCONTRADO,"Décima edición del Festival Litoral Teatral, a diez años de su primera versión en 2016 (con receso por la pandemia). Programación gratuita de teatro, danza, circo y teatro de máscaras en la Sala Civita Aranda del Centro Cultural San Antonio y en distintos puntos de la comuna, con funciones especiales para estudiantes y foco en la circulación de compañías de la Región de Valparaíso. Participaron 13 compañías con 12 espectáculos, entre ellas Teatro Imagen (""La Reina Isabel cantaba rancheras"", obra inaugural), Circo Ancestral (""La nave de los locos y LocOnas"", dirección de Andrés Del Bosque), Cooperativa Teatral de Valparaíso (""La Tendalá""), Ensamble Vocal Comunitario (""Monumentos""), Saltimbanqui Circus y Teatro El Ojo (""La remolienda"", obra de cierre). Financiado por el Fondo de Artes Escénicas del Ministerio de las Culturas, las Artes y el Patrimonio (convocatoria 2025).",FUE-0062 | FUE-0063 | FUE-0064 | FUE-0065 | FUE-0095 | FUE-0167,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,organizacion: 'Centro Cultural San Antonio (Ilustre Municipalidad de San Antonio)' vs 'Corporación Municipal de la Cultura y las Artes de San Antonio'; organizacion: 'Centro Cultural San Antonio (Ilustre Municipalidad de San Antonio)' vs 'Centro Cultural San Antonio',"Importado de data/events/festival-litoral-teatral-2026.json (score 82). 'Litoral Cultural 2026. Festival de las Artes Escénicas en San Antonio' (Festivales y Encuentros Regionales 2026, $29.933.896, Corporación Municipal de la Cultura y las Artes de San Antonio): probablemente el proyecto que financió la edición 2026 del Festival Litoral Teatral; por confirmar. 2024 (10–21 de enero): 'El carnaval de la alegría' (pasacalle, Fundación Teatromuseo del Títere y el Payaso), 'El monólogo de un árbol' (Carro Nómade), 'Tripulación Paraíso' (Disparate Circo), 'Cartas para que no me olvides' (Compañía Oreja Roja), 'Voces por la memoria' (Ensamble Vocal Comunitario, dir. Diego Belmar), 'En bañador' (Compañía Aranwa), 'Historia de amor para un alma vieja' (Felipe Zambrano Miguieles), 'Perfectos Desconocidos' (compañía no indicada). 2026: 13 compañías y 12 espectáculos; nombradas Teatro Imagen ('La Reina Isabel cantaba rancheras', dir. Gustavo Meza, compañía nacional), Cooperativa Teatral de Valparaíso ('La Tendalá', 19 de abril, 18:00), Ensamble Vocal Comunitario ('Monumentos', 25 de abril, 19:00), Saltimbanqui Circus (26 de abril, 17:00 y 19:00, JJVV San Juan de Llolleo) y Teatro El Ojo ('La remolienda', cierre)."
FES-0003,VIII Festival Teatro Container,VIII Festival Teatro Container | IX Festival Teatro Container,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,"Centro Cultural Teatro Container (CCTC), con apoyo de Paisaje Público e Iberescena",NO ENCONTRADO,NO ENCONTRADO,COMP-0052,Centro Cultural Teatro Container,NO ENCONTRADO,NO ENCONTRADO,9,2024-11-21 | 2024 | 2026,https://festivalteatrocontainer.cl/,NO ENCONTRADO,NO ENCONTRADO,"Octava edición del Festival Teatro Container, con el lema ""Practicar la calle"", tras dieciséis años de historia del Centro Cultural Teatro Container (CCTC, fundado en 2008) y el regreso del festival después de cuatro años sin realizarse. Organizado en dos líneas, ""Intimidad"" (dentro del contenedor) y ""Ciudad"" (espacio público), con el contenedor ""Cocina Pública"" recorriendo distintos puntos de Valparaíso. Según su director, Nicolás Eyzaguirre, esta edición se realizó ""sin haber obtenido fondos concursables ni otras fuentes de financiamiento"", sostenida en la solidaridad y el apoyo mutuo. Compañías y obras participantes: Cía. Ensamble Específico (""Un artista del hambre""), Andrea Paz & Silere Arts (""Proyecto X""), Rodrigo Chaverini (""Frames""), Oani Teatro (""Trilogía de Valparaíso""), Alumbra Creando (cuentacuentos), Festín de la Risa (clown) y Paula Sacur (""Costa Marfil"").",FUE-0066 | FUE-0067 | FUE-0068 | FUE-0095,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,"nombre: 'VIII Festival Teatro Container' vs 'Festival Teatro Container'; organizacion: 'Centro Cultural Teatro Container (CCTC), con apoyo de Paisaje Público e Iberescena' vs 'Centro Cultural Teatro Container'",Importado de data/events/festival-teatro-container-2024.json (score 78). IX Festival Teatro Container 2026 seleccionado en Festivales y Encuentros Nacionales ($55.000.000).
FES-0004,IV Festival Ventolera: Títeres en Primavera,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Asamblea Titiritera ATTICH V, junto a la Seremi de las Culturas, la Municipalidad de Valparaíso y el Centro Comunitario Las Cañas",NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2024-10-20,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Cuarta edición del Festival Ventolera, orientado a promover la creación, producción, exhibición y circulación de obras de titiriteros y marionetistas del territorio regional. Incluyó un taller de construcción de títeres de boca a cargo de Giovanni Vaccaro (15:00 horas, materiales gratuitos) y funciones desde las 16:00 horas de compañías de la Región de Valparaíso y una invitada de La Serena. Compañías participantes: Gabisha Títeres, Nina Títeres y Cuentacuentos, Compañía Moviendo Hilos, Compañía Capuchina, Compañía Vilkún de Marionetas, Títeres Helecho Marionatas, Compañía Correquetepillo, Titiricaos e Ingrid Vergara (La Serena, fuera de la región).",FUE-0069 | FUE-0015,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Importado de data/events/festival-ventolera-2024.json (score 75).
FES-0005,Puerto a Puerta Valparaíso,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Centro Cultural Teatro Container y Fundación OANI de Teatro (coproducción), con financiamiento de la Seremi de las Culturas, las Artes y el Patrimonio",NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2024-12-01,https://oaniteatro.com/puerto-a-puerta-valparaiso/,NO ENCONTRADO,NO ENCONTRADO,"Itinerancia de un contenedor marítimo transformado en cocina y escenario que recorre las calles de Valparaíso para ""reivindicar el espacio público"" con teatro, danza, narración oral y gastronomía como acto de convivencia (""Cocina Pública""). Es una coproducción del Centro Cultural Teatro Container y la Fundación OANI de Teatro. Forma parte de una itinerancia más amplia del mismo proyecto (""Puerto a Puerta"") por comunas de la provincia de San Antonio (El Quisco, El Tabo, San Antonio y Santo Domingo) en 2024, financiada por el Fondo Nacional de Fomento y Desarrollo de las Artes Escénicas Itinerantes Regionales, convocatoria 2024, del Ministerio de las Culturas.",FUE-0070 | FUE-0071,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Importado de data/events/puerto-a-puerta-valparaiso-2024.json (score 60).
FES-0006,Festival de Teatro y Todas las Artes Valle del Liwa,Festival Valle del Liwa,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,COMP-0001,Arte Escénico La Ligua,NO ENCONTRADO,NO ENCONTRADO,4,2024,https://festivalvalledelliwa.cl/,https://www.instagram.com/festivalvalledelliwa/,NO ENCONTRADO,NO ENCONTRADO,FUE-0013 | FUE-0014 | FUE-0154,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Creado por referencia desde COMP-0001. Comuna no resuelta: Provincia de Petorca. Cuarta versión convocada en 2024 (bases de febrero de 2024): artistas locales, regionales, nacionales e internacionales (~100), con mediación obligatoria en establecimientos educacionales o sectores comunitarios; se presenta en salas y espacios abiertos. Sitio web sin resolver DNS en septiembre de 2026. Comuna sede por confirmar (Provincia de Petorca según ficha previa)."
FES-0007,Festival Ventolera,IV Festival Ventolera | Festival Ventolera: Títeres en Primavera,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Asamblea Titiritera ATTICH V Región,ESP-0033,Centro Comunitario Las Cañas,COMP-0002 | COMP-0003 | COMP-0016 | COMP-0085 | COMP-0086 | COMP-0087 | COMP-0088 | COMP-0089 | COMP-0090,Asamblea Titiritera ATTICH V Región | Colectiva Artística Medioambiental La Capuchina | Titiricaos | Gabisha Títeres | Nina Títeres y Cuentacuentos | Compañía Moviendo Hilos | Compañía Vilkún de Marionetas | Títeres Helecho Marionetas | Compañía Correquetepillo,NO ENCONTRADO,NO ENCONTRADO,4,2024 | 2024-10-20,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0015 | FUE-0016 | FUE-0017 | FUE-0018 | FUE-0019 | FUE-0020 | FUE-0069,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Creado por referencia desde COMP-0002. Comuna no resuelta: Centro Comunitario Las Cañas, Cerro Las Cañas, Valparaíso. Creado por referencia desde COMP-0003. Comuna no resuelta: Centro Comunitario Las Cañas, Cerro Las Cañas, Valparaíso. Comuna no resuelta: Centro Comunitario Las Cañas, Cerro Las Cañas, Valparaíso. IV versión: domingo 20 de octubre de 2024, gratuita; taller 15:00 y exhibiciones 16:00. Coorganiza la Seremi de las Culturas; apoyan la Municipalidad de Valparaíso y el Centro Comunitario Las Cañas. Participó además Ingrid Vergara (La Serena, fuera de la región)."
FES-0008,Festival Caleta de Títeres,II Festival Caleta de Títeres,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Asamblea Titiritera ATTICH V, Fundación TeatroMuseo del Títere y el Payaso, Empresa Portuaria Valparaíso, Centex y Seremi de las Culturas, las Artes y el Patrimonio",NO ENCONTRADO,NO ENCONTRADO,COMP-0002,Asamblea Titiritera ATTICH V Región,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2026 | 2026-03-22,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Segunda edición del Festival Caleta de Títeres, que celebra el Día Mundial del Títere y la Marioneta (21 de marzo) transformando el Muelle Prat de Valparaíso en escenario. Programa más de quince números de títeres y marionetas, exhibición de marionetas gigantes y un especial de Teatro Lambe-Lambe desde las 13:00 horas, con reconocimiento a personalidades del oficio. Entre las 17:00 y las 18:15 horas se realizan cuatro funciones a bordo de lanchas en la bahía. Compañías y obras mencionadas: Talán-Talán, Compañía Terrestre, Lorenzo Títeres, Compañía La Bululú y Compañía La Barconeta; obras ""Olvídame"", ""Océano Pacífico"", ""El Gato Aníbal"" y ""Las Cantoras del Puerto"". Requiere inscripción previa mediante formulario del Ministerio de las Culturas.",FUE-0015 | FUE-0016 | FUE-0017 | FUE-0018 | FUE-0060 | FUE-0061,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Creado por referencia desde COMP-0002. Comuna no resuelta: Muelle Prat, Valparaíso. Importado de data/events/festival-caleta-de-titeres-2026.json (score 85)."
FES-0009,IV Festival Ventolera,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,COMP-0003 | COMP-0016,Colectiva Artística Medioambiental La Capuchina | Titiricaos,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2024,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0018 | FUE-0019 | FUE-0020 | FUE-0015,DUPLICADO,2026-09-08,2026-09-08,FES-0007,NO ENCONTRADO,"Creado por referencia desde COMP-0003. Comuna no resuelta: Centro Comunitario Las Cañas, Cerro Las Cañas, Valparaíso. Comuna no resuelta: Centro Comunitario Las Cañas, Cerro Las Cañas, Valparaíso."
FES-0010,Jallalla Festi Circo,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,COMP-0007,Festín de la Risa,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,2022,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0027 | FUE-0028,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Creado por referencia desde COMP-0007. Comuna no resuelta: Arica.
