id,obra,obra_nombre,compania,compania_nombre,fecha,fecha_fin,hora,comuna,comuna_nombre,espacio,espacio_nombre,festival,festival_nombre,tipo_funcion,precio,numero_funciones,descripcion,fuentes,estado,fecha_descubrimiento,fecha_ultima_verificacion,duplicado_de,contradicciones,notas
FUN-0001,OBR-0005,Ánimas de día claro,NO ENCONTRADO,NO ENCONTRADO,2026-09-05,NO ENCONTRADO,19:00,san-antonio,San Antonio,ESP-0002,Centro Cultural San Antonio,NO ENCONTRADO,NO ENCONTRADO,gratuita,Gratuita,NO ENCONTRADO,"Montaje de teatro costumbrista sobre la obra de Alejandro Sieveking, presentado por la Compañía El Ojo Teatro en la Sala Civita Aranda del Centro Cultural San Antonio.",FUE-0058,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Importado de data/events/animas-de-dia-claro-san-antonio-2026-09-05.json (score 78).
FUN-0002,OBR-0006,Circo con Saltimbanqui Circus,NO ENCONTRADO,NO ENCONTRADO,2026-09-26,NO ENCONTRADO,17:00,san-antonio,San Antonio,ESP-0002,Centro Cultural San Antonio,NO ENCONTRADO,NO ENCONTRADO,gratuita,Gratuita,NO ENCONTRADO,"Dos funciones de circo de Saltimbanqui Circus, compañía local de San Antonio, en el Patio de la Niñez del Centro Cultural San Antonio.",FUE-0058,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Importado de data/events/circo-saltimbanqui-san-antonio-2026-09-26.json (score 76).
FUN-0003,OBR-0006,Circo con Saltimbanqui Circus,NO ENCONTRADO,NO ENCONTRADO,2026-09-26,NO ENCONTRADO,18:00,san-antonio,San Antonio,ESP-0002,Centro Cultural San Antonio,NO ENCONTRADO,NO ENCONTRADO,gratuita,Gratuita,NO ENCONTRADO,"Dos funciones de circo de Saltimbanqui Circus, compañía local de San Antonio, en el Patio de la Niñez del Centro Cultural San Antonio.",FUE-0058,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Importado de data/events/circo-saltimbanqui-san-antonio-2026-09-26.json (score 76).
FUN-0004,OBR-0007,El gran circo imaginario,NO ENCONTRADO,NO ENCONTRADO,2026-09-13,NO ENCONTRADO,16:30,valparaiso,Valparaíso,ESP-0007,Fundación Teatromuseo del Títere y el Payaso,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Experiencia de teatro-circo con números y personajes circenses clásicos, pensada para espacios no convencionales y público familiar.",FUE-0059,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Importado de data/events/el-gran-circo-imaginario-teatromuseo-2026-09-13.json (score 80).
FUN-0005,OBR-0008,En este instante,NO ENCONTRADO,NO ENCONTRADO,2026-09-06,NO ENCONTRADO,16:30,valparaiso,Valparaíso,ESP-0007,Fundación Teatromuseo del Títere y el Payaso,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,Un payaso barrendero encantador transforma las tareas cotidianas en aventuras cómicas con participación del público.,FUE-0059,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Importado de data/events/en-este-instante-teatromuseo-2026-09-06.json (score 80).
FUN-0006,OBR-0009,Sola,NO ENCONTRADO,NO ENCONTRADO,2026-09-05,NO ENCONTRADO,19:00,valparaiso,Valparaíso,ESP-0007,Fundación Teatromuseo del Títere y el Payaso,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,"Unipersonal protagonizado por «la Señora María», un personaje de 80 años que ofrece lecturas de tarot, limpias energéticas y consejos espirituales a través del humor y la improvisación.",FUE-0059,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Importado de data/events/sola-teatromuseo-2026-09-05.json (score 80).
FUN-0007,OBR-0017,Error,COMP-0013,Centro de Investigación Teatro La Peste,2025-05-05,NO ENCONTRADO,19:00,valparaiso,Valparaíso,ESP-0051,Mikroespacio,FES-0021,Ciudad Teatro,festival,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0131,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0008,OBR-0018,Repertorio para habitar la soledad,COMP-0039,Cooperativa de Artes Escénicas de Valparaíso,2025-05-06,NO ENCONTRADO,17:00,valparaiso,Valparaíso,ESP-0052,Espacio Catarsis,FES-0021,Ciudad Teatro,festival,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0131,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0009,OBR-0019,Hipodérmica,COMP-0040,Astillero Teatro,2025-05-06,NO ENCONTRADO,19:00,valparaiso,Valparaíso,ESP-0053,Centro Cultural IPA,FES-0021,Ciudad Teatro,festival,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0131,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
FUN-0010,OBR-0020,Anku,COMP-0041,Teatro ILUcIÓN,2025-05-09,NO ENCONTRADO,11:00,valparaiso,Valparaíso,ESP-0054,Centex — Centro de Extensión del Ministerio de las Culturas,FES-0021,Ciudad Teatro,festival,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0131,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO
