id,nombre,nombre_oficial,nombre_artistico,alias,comuna,comuna_nombre,provincia,localidad,region,anio_creacion,director,integrantes,tipo,disciplinas,descripcion,obras,obras_nombre,espacios,espacios_nombre,comunas_trabajo,regiones_circulacion,festivales,festivales_nombre,fondos,fondos_nombre,instagram,facebook,youtube,tiktok,spotify,vimeo,linkedin,web,correo,telefono,fuentes,estado,fecha_descubrimiento,fecha_ultima_verificacion,duplicado_de,contradicciones,notas
COMP-0001,Arte Escénico La Ligua,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,la-ligua,La Ligua,petorca,NO ENCONTRADO,valparaiso,NO ENCONTRADO,NO ENCONTRADO,Nelson Hernán Rojas Torres (director),teatro comunitario,teatro | teatro-comunitario,"Organización de teatro y gestión cultural de La Ligua dirigida por Nelson Rojas Torres. Organiza el Festival de Teatro y Todas las Artes Valle del Liwa, que lleva teatro a localidades rurales y urbanas de la Provincia de Petorca.",NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,petorca | cabildo,NO ENCONTRADO,FES-0006,Festival de Teatro y Todas las Artes Valle del Liwa,FIN-0001,7% FNDR Cultura — Festival Valle del Liwa (tercera versión),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0013 | FUE-0014 | FUE-0082 | FUE-0083 | FUE-0084,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Importado de data/companies/arte-escenico-la-ligua.json (score 60).
COMP-0002,Asamblea Titiritera ATTICH V Región,NO ENCONTRADO,NO ENCONTRADO,Asamblea Titiritera ATTICH Quinta Región | ATTICH Quinta Región,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,valparaiso,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,compañía de títeres,titeres,"Agrupación regional de titiriteras y titiriteros de la Región de Valparaíso, vinculada a la Asamblea de Titiriteros y Titiriteras de Chile (ATTICH). Organiza el Festival Ventolera y el Festival Caleta de Títeres.",NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FES-0007 | FES-0008,Festival Ventolera | Festival Caleta de Títeres,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0015 | FUE-0016 | FUE-0017 | FUE-0018 | FUE-0069,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Importado de data/companies/asamblea-titiritera-attich-v.json (score 80). El Catálogo SNPC 2025 indica que Titiricaos, La Barconeta, La Capuchina y Vaccaro Puppets integran la Asamblea. Organiza el Festival Ventolera (IV versión, 2024). Comuna según la sede del festival."
COMP-0003,Colectiva Artística Medioambiental La Capuchina,NO ENCONTRADO,NO ENCONTRADO,Colectiva Artístico Medio Ambiental La Capuchina | Compañía La Capuchina | La Capuchina | Colectiva La Capuchina | Compañía Capuchina,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,valparaiso,2018,NO ENCONTRADO,Waleska Vilches Valdivia (integrante fundadora) | Ana Sagredo Núñez (integrante fundadora),compañía de títeres,titeres | musica-escenica | teatro-comunitario,"Colectiva de artes escénicas y teatro tradicional de títeres de Valparaíso, nacida en 2018, centrada en educación medioambiental, música original y trabajo comunitario en jardines infantiles, escuelas y espacios no convencionales.",NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FES-0007,Festival Ventolera,FIN-0002,"Convocatoria 2023, Ministerio de las Culturas, las Artes y el Patrimonio (obra La Ruta de la Quebrada)",https://www.instagram.com/la_capuchina/,NO ENCONTRADO,NO ENCONTRADO,https://www.tiktok.com/@lacapuchina9537,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,colectivalacapuchina@gmail.com,+569 4353 3803,FUE-0018 | FUE-0019 | FUE-0020 | FUE-0015 | FUE-0069,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,"descripcion: 'Colectiva de artes escénicas y teatro tradicional de títeres de Valparaíso, nacida en 2018, centrada en educación medioambiental, música original y trabajo comunitario en jardines infantiles, escuelas y espacios no convencionales.' vs 'Nace en 2018 en Valparaíso; artes escénicas, teatro, títeres, música, trabajo comunitario y medio ambiente, con un proyecto educativo centrado en protección y cuidado de entornos naturales. Obras originales con música de autoría; investigación en manipulación de títeres para formatos audiovisuales. Trabaja en jardines infantiles, escuelas y espacios no convencionales. Integra la Asamblea Titiritera ATTICH Quinta Región.'",Importado de data/companies/colectiva-la-capuchina.json (score 78). Ficha en el Catálogo SNPC 2025 (p. 10). Identificadores de red publicados: 'la_capuchina' y '@lacapuchina9537'; segundo teléfono +569 6469 5363. Figura como 'Compañía Capuchina (Valparaíso)' en el IV Festival Ventolera (2024).
COMP-0004,Compañía de Muñecos Marionautas,NO ENCONTRADO,NO ENCONTRADO,Compañía Marionautas | Marionautas,quilpue,Quilpué,marga-marga,NO ENCONTRADO,valparaiso,NO ENCONTRADO,Rafael Brozzi,Rafael Brozzi (dirección),compañía de títeres,titeres,"Compañía de marionetas y títeres con enfoque educativo y de entretención, dirigida por Rafael Brozzi. Con sede en Quilpué, ha recorrido escenarios de una veintena de países.",NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,Latinoamérica (giras) | Europa (giras),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,https://www.instagram.com/elmundodelostiteres/,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,marionautas@gmail.com,+569 8564 5270,FUE-0018 | FUE-0021 | FUE-0087,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,"descripcion: 'Compañía de marionetas y títeres con enfoque educativo y de entretención, dirigida por Rafael Brozzi. Con sede en Quilpué, ha recorrido escenarios de una veintena de países.' vs 'Dirigida por Rafael Brozzi, quien llegó a Chile en 1994. Con tres décadas de trayectoria, desarrolla marionetas y títeres con enfoque educativo y de entretención; ha recorrido escenarios en una veintena de países con giras por Latinoamérica y Europa. Funciones en teatros, centros educativos y espacio público. Público: primera infancia, infantil y familiar.'",Importado de data/companies/compania-de-munecos-marionautas.json (score 75). Ficha en el Catálogo SNPC 2025 (p. 6). Red social publicada como 'elmundodelostiteres' sin indicar la plataforma. Año exacto de fundación no indicado ('tres décadas de trayectoria').
COMP-0005,Compañía de Teatro Alegría,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,villa-alemana,Villa Alemana,marga-marga,NO ENCONTRADO,valparaiso,2012,NO ENCONTRADO,Sofía Espinoza (elenco de El Loco y la Triste) | Lucy Salgado (elenco de El Loco y la Triste) | Víctor Eduardo Opazo Herrera (integrante y representante),teatro comunitario,teatro | teatro-comunitario,"Compañía de teatro comunitario de Villa Alemana, nacida en 2012 con alrededor de quince actores y actrices. Obtuvo personalidad jurídica en julio de 2012, lo que le permitió postular a fondos públicos y subvenciones.",OBR-0001,El Loco y la Triste,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FIN-0003,Subvención municipal (equipamiento),NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0022 | FUE-0023 | FUE-0055 | FUE-0085 | FUE-0086,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Importado de data/companies/compania-de-teatro-alegria.json (score 65).
COMP-0006,Compañía de Teatro La Lancha,Compañía de Teatro La Lancha SpA,NO ENCONTRADO,Teatro la Lancha Spa,san-antonio,San Antonio,san-antonio,NO ENCONTRADO,valparaiso,NO ENCONTRADO,Diego Chamorro,Diego Chamorro (director) | Paz Olivares (elenco de Llo Lle We) | Valeria Morales (elenco de Llo Lle We) | Francisco Luco (musicalización) | Pablo Urtubia (musicalización) | Alan Sebastián Fernández Caro (actor y gestor),teatro infantil/familiar,teatro | teatro-familiar | juglaria,"Compañía de teatro de San Antonio dirigida por Diego Chamorro. Trabaja teatro, memoria e identidad territorial del litoral; responsable del proyecto Quinta Escena Podcast.",OBR-0002,Llo Lle We,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FIN-0087,"Equipamiento profesional para la escena itinerante - La Lancha, Teatro y Patrimonio",NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0024 | FUE-0025 | FUE-0026 | FUE-0056 | FUE-0072 | FUE-0073 | FUE-0092 | FUE-0094 | FUE-0098 | FUE-0117,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,nombre_oficial: 'Compañía de Teatro La Lancha SpA' vs 'Teatro La Lancha SpA'; tipo: 'teatro infantil/familiar' vs 'organización de artes escénicas (según nómina de fondos)',"Importado de data/companies/compania-de-teatro-la-lancha.json (score 75). Mencionada como 'Teatro La Lancha' entre los seleccionados de Fondos Cultura 2026 en la nota ministerial; proyecto por confirmar en la nómina oficial. 'Equipamiento profesional para la escena itinerante - La Lancha, Teatro y Patrimonio' (2026, $14.997.500). 'Huidobro Viene Navegando + Registro' (2025, $17.093.777) y 'Gira de Llo Lle We: Ko Rüpü, el camino del agua' (2023, $14.325.891), ambos con Diego Sebastián Chamorro Ramírez como responsable. Responsable del proyecto «Equipamiento profesional para la escena itinerante - La Lancha, Teatro y Patrimonio» (Fondo de Artes Escénicas 2026, Compañías de las Artes Escénicas). Comuna no indicada en la nómina (solo región)."
COMP-0007,Festín de la Risa,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,valparaiso,2009,NO ENCONTRADO,Felipe Godoy (Tony Pitilla) | Katherine Cisternas (Tony Petunia) | Carlos Andrés Muñoz Rivera (integrante (Tony Pinganilla)),compañía de circo,clown | circo | teatro-callejero,"Compañía de clown nacida en 2009 en el Teatromuseo del Títere y el Payaso de Valparaíso, a partir de un encuentro entre artistas del clown y el mimo. Desde 2014 la conforman Carlos Muñoz (Tony Pinganilla), Felipe Godoy (Tony Pitilla) y Katherine Cisternas (Tony Petunia). Mezcla clown, teatro, circo, calle, humor físico, acrobacia cómica, improvisación, música y tradición circense, con números clásicos del payaso.",OBR-0003,Ayayai,NO ENCONTRADO,NO ENCONTRADO,putaendo,NO ENCONTRADO,FES-0010 | FES-0011,Jallalla Festi Circo | Gira regional de teatro familiar,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0027 | FUE-0028 | FUE-0054 | FUE-0074 | FUE-0075,DESCUBIERTO,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,Importado de data/companies/festin-de-la-risa.json (score 55).
COMP-0008,Fundación OANI de Teatro,Fundación OANI de Teatro,NO ENCONTRADO,OANI Teatro | OANI — Objeto Animado No Identificado,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,valparaiso,1998,Camila Landon Vío,"Camila Landon Vío (directora presidenta, actriz) | Andrés Landon Vío (director secretario, compositor y productor musical) | Gloria Vío Grossi (directora tesorera, asesora de proyectos)",compañía de títeres,titeres | lambe-lambe | teatro-familiar | teatro,"Compañía y fundación de Teatro de Formas Animadas con sede en Valparaíso, pionera en la difusión del Teatro Lambe-Lambe (teatro miniatura) en Chile desde 2007. Organiza el FESTILAMBE de Valparaíso y realiza tardes familiares y residencias en Casa OANI y en el Parque Cultural de Valparaíso.",OBR-0041 | OBR-0121 | OBR-0129 | OBR-0130 | OBR-0131,NOSOTRXS | Yo soy un oso | La estrategia de Elías | La cocina pública | Avatares,ESP-0003 | ESP-0088,Parque Cultural de Valparaíso | Casa OANI,valparaiso,NO ENCONTRADO,FES-0012 | FES-0047,FESTILAMBE de Valparaíso | Mes del Teatro en la Región de Valparaíso 2022,FIN-0004 | FIN-0005 | FIN-0111 | FIN-0265 | FIN-0525 | FIN-0542 | FIN-0829,"Fondo Nacional de Fomento y Desarrollo de las Artes Escénicas — Creación y Producción Escénica (obra NOSOTRXS) | Comunidades Escénicas — Programa de Artes Escénicas Itinerantes Regionales (coproducción «Puerto a Puerta» con Teatro Container) | 9° FESTILAMBE de Valparaíso, Festival Internacional de Teatro Lambe Lambe de Chile ""Contagiando Humanidad"" | NOSOTRXS | 8vo FESTILAMBE de Valparaíso Festival Internacional de Teatro Lambe Lambe de Chile - Convocando Humanidad | EL CUERPO COMO ESCENARIO DE LAS MINIATURAS | 7° FESTILAMBE de Valparaíso - Festival Internacional de Teatro Lambe Lambe de Chile - Compartiendo Humanidad",https://www.instagram.com/oaniteatro/,https://www.facebook.com/oaniteatro/,https://www.youtube.com/@oaniteatro,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,https://oaniteatro.com,produccion@oaniteatro.com,NO ENCONTRADO,FUE-0029 | FUE-0030 | FUE-0031 | FUE-0032 | FUE-0088 | FUE-0095 | FUE-0098 | FUE-0105 | FUE-0106 | FUE-0118 | FUE-0175,VERIFICADO,2026-09-08,2026-09-08,NO ENCONTRADO,"tipo: 'compañía de títeres' vs 'organización de artes escénicas (según nómina de fondos)'; tipo: 'compañía de títeres' vs 'compañía de teatro de animación'; descripcion: 'Compañía y fundación de Teatro de Formas Animadas con sede en Valparaíso, pionera en la difusión del Teatro Lambe-Lambe (teatro miniatura) en Chile desde 2007. Organiza el FESTILAMBE de Valparaíso y realiza tardes familiares y residencias en Casa OANI y en el Parque Cultural de Valparaíso.' vs 'OANI (Objeto Animado No Identificado) nace en Santiago en 1998, se radica en Valparaíso en 2007 y se constituye como Fundación en 2014. Su misión: promover desde Valparaíso la articulación, desarrollo, investigación, formación y difusión de las artes escénicas, en especial el teatro de animación. Ha estrenado 33 espectáculos de producción independiente.'; correo: 'produccion@oaniteatro.com' vs 'fundacion@oaniteatro.com'","Importado de data/companies/fundacion-oani-de-teatro.json (score 90). Punto de Cultura Comunitaria validado. Responsable del proyecto «9° FESTILAMBE de Valparaíso, Festival Internacional de Teatro Lambe Lambe de Chile ""Contagiando Humanidad""» (Fondo de Artes Escénicas 2026, Nacionales). Comuna no indicada en la nómina (solo región). Responsable del proyecto «NOSOTRXS» (Fondo de Artes Escénicas 2025, Títeres). Comuna no indicada en la nómina (solo región). Responsable del proyecto «8vo FESTILAMBE de Valparaíso Festival Internacional de Teatro Lambe Lambe de Chile - Convocando Humanidad» (Fondo de Artes Escénicas 2024, Festivales y Encuentros Nacionales). Comuna no indicada en la nómina (solo región). Responsable del proyecto «EL CUERPO COMO ESCENARIO DE LAS MINIATURAS» (Fondo de Artes Escénicas 2024, Residencias Internacionales). Comuna no indicada en la nómina (solo región). Responsable del proyecto «7° FESTILAMBE de Valparaíso - Festival Internacional de Teatro Lambe Lambe de Chile - Compartiendo Humanidad» (Fondo de Artes Escénicas 2023, Festivales y encuentros de trayectoria). Comuna no indicada en la nómina (solo región). 'NOSOTRXS' (títeres 2025, $23.953.984); residencia internacional 'El cuerpo como escenario de las miniaturas' (2024, $10.655.490); organiza FESTILAMBE. 'Yo soy un oso' junto a Abrapalabra (Mes del Teatro 2022). Teatro Lambe Lambe desde 2007. Correo de producción: produccion@oaniteatro.com. El sitio no nombra director/a ni integrantes actuales."
COMP-0009,Guaico Títeres,NO ENCONTRADO,NO ENCONTRADO,Compañía Guaico Títeres,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,valparaiso,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,compañía de títeres,titeres,"Compañía familiar de teatro tradicional de títeres de educación intercultural mapuche, con casa taller en el cerro Playa Ancha de Valparaíso.",NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,https://www.instagram.com/guaicotiteres/,https://www.facebook.com/guaico.titeres,https://www.youtube.com/user/guaicotiteres,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,https://guaicotiteres.com/,guaicotiteres@gmail.com,+569 9354 8413,FUE-0018 | FUE-0033,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,"descripcion: 'Compañía familiar de teatro tradicional de títeres de educación intercultural mapuche, con casa taller en el cerro Playa Ancha de Valparaíso.' vs 'Compañía familiar de teatro de educación intercultural, especializada en la transmisión de la cosmovisión mapuche. Obras de teatro de títeres y varieté intercultural en giras y festivales nacionales e internacionales, centros culturales, plazas, teatros, jardines, colegios y eventos particulares. Público: infantil, familiar y adultos.'","Importado de data/companies/guaico-titeres.json (score 73). Ficha en el Catálogo SNPC 2025 (p. 7). El catálogo publica los identificadores 'guaicotiteres', '@guaicotiteres', 'guaico.titeres' y 'guaicotiteres.com'; la asignación de plataforma es inferida por el formato."
COMP-0010,La Enredadera,Colectivo Escénico La Enredadera,NO ENCONTRADO,Colectivo Escénico La Enredadera,valparaiso,Valparaíso,valparaiso,NO ENCONTRADO,valparaiso,2014,NO ENCONTRADO,"Laura Corona (dirección coreográfica) | Milenka Cucurella (intérprete) | Mariela Díaz (intérprete) | Andrea Garrido (dirección e interpretación, gira Mujeres en Escena 2026) | Francisco Cooper (composición musical, colaborador en La Caracol)",compañía de danza,danza,"Colectivo escénico de danza para la primera infancia, fundado en Valparaíso en 2014, dirigido por la coreógrafa Laura Corona. Su obra «La Caracol» aborda el respeto, la diversidad y el cuidado del medio ambiente para bebés y niñas y niños desde los 6 meses.",NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FES-0011 | FES-0014,Gira regional de teatro familiar | Mujeres en Escena,FIN-0006 | FIN-0007,"Apoyo del Ministerio de las Culturas, las Artes y el Patrimonio para «La Caracol» | Programa Itinerantes Regionales, Fondo de Artes Escénicas — proyecto «Mujeres en Escena»",NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,NO ENCONTRADO,FUE-0034 | FUE-0035 | FUE-0036 | FUE-0037 | FUE-0038 | FUE-0098,PARCIAL,2026-09-08,2026-09-08,NO ENCONTRADO,NO ENCONTRADO,"Importado de data/companies/la-enredadera.json (score 75). 'Residencia Exploración del lenguaje creativo para la primera infancia. Colectivo Escénico La Enredadera' (2025, Milenka Cucurella Farías, $8.707.400)."
